56308, 2026-02-02 20:27:55.967246, 2026-02-02 20:27:58.967565, 0:00:03.000319
38033, 2026-02-02 20:27:58.968202, 2026-02-02 20:28:01.968473, 0:00:03.000271
39997, 2026-02-02 20:28:01.968773, 2026-02-02 20:28:06.969399, 0:00:05.000626
35523, 2026-02-02 20:28:06.970008, 2026-02-02 20:28:07.970096, 0:00:01.000088
62080, 2026-02-02 20:28:07.970391, 2026-02-02 20:28:09.970684, 0:00:02.000293
31545, 2026-02-02 20:28:09.971167, 2026-02-02 20:28:16.972109, 0:00:07.000942
22544, 2026-02-02 20:28:16.972400, 2026-02-02 20:28:26.973970, 0:00:10.001570
63101, 2026-02-02 20:28:26.975832, 2026-02-02 20:28:33.976485, 0:00:07.000653
39217, 2026-02-02 20:28:33.976772, 2026-02-02 20:28:39.977409, 0:00:06.000637
62955, 2026-02-02 20:28:39.977980, 2026-02-02 20:28:49.979879, 0:00:10.001899
64695, 2026-02-02 20:28:49.980226, 2026-02-02 20:28:59.981637, 0:00:10.001411
45396, 2026-02-02 20:28:59.982344, 2026-02-02 20:29:02.982615, 0:00:03.000271
455, 2026-02-02 20:29:02.982991, 2026-02-02 20:29:06.983559, 0:00:04.000568
36334, 2026-02-02 20:29:06.984183, 2026-02-02 20:29:09.984415, 0:00:03.000232
10688, 2026-02-02 20:29:09.984780, 2026-02-02 20:29:12.985061, 0:00:03.000281
21847, 2026-02-02 20:29:12.985723, 2026-02-02 20:29:18.986304, 0:00:06.000581
27383, 2026-02-02 20:29:18.986787, 2026-02-02 20:29:25.987438, 0:00:07.000651
22514, 2026-02-02 20:29:25.988055, 2026-02-02 20:29:30.988517, 0:00:05.000462
47637, 2026-02-02 20:29:30.989140, 2026-02-02 20:29:35.990114, 0:00:05.000974
44099, 2026-02-02 20:29:35.990718, 2026-02-02 20:29:38.991219, 0:00:03.000501
24268, 2026-02-02 20:29:38.991788, 2026-02-02 20:29:41.992210, 0:00:03.000422
42850, 2026-02-02 20:29:41.992549, 2026-02-02 20:29:50.993801, 0:00:09.001252
17469, 2026-02-02 20:29:50.994155, 2026-02-02 20:29:57.995315, 0:00:07.001160
51171, 2026-02-02 20:29:57.996135, 2026-02-02 20:30:07.997504, 0:00:10.001369
64181, 2026-02-02 20:30:07.998044, 2026-02-02 20:30:11.998566, 0:00:04.000522
3143, 2026-02-02 20:30:11.999051, 2026-02-02 20:30:19.000274, 0:00:07.001223
6735, 2026-02-02 20:30:19.000713, 2026-02-02 20:30:29.001838, 0:00:10.001125
8163, 2026-02-02 20:30:29.002495, 2026-02-02 20:30:31.002805, 0:00:02.000310
17413, 2026-02-02 20:30:31.003144, 2026-02-02 20:30:36.004005, 0:00:05.000861
38779, 2026-02-02 20:30:36.004773, 2026-02-02 20:30:46.005812, 0:00:10.001039
